Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2002     0.00     0.00  void std::_Destroy<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     2000     0.00     0.00  std::vector<float, std::allocator<float> >::capacity() const
  0.00      0.00     0.00     2000     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_assign_aux<float const*>(float const*, float const*, std::forward_iterator_tag)
  0.00      0.00     0.00     2000     0.00     0.00  std::vector<float, std::allocator<float> >::_M_erase_at_end(float*)
  0.00      0.00     0.00     2000     0.00     0.00  std::vector<float, std::allocator<float> >::operator=(std::initializer_list<float>)
  0.00      0.00     0.00     2000     0.00     0.00  __gnu_cxx::__promote_2<decltype (((__gnu_cxx::__promote_2<float, std::__is_integer<float>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0))), std::__is_integer<decltype (((__gnu_cxx::__promote_2<float, std::__is_integer<float>::__value>::__type)(0))+((__gnu_cxx::__promote_2<int, std::__is_integer<int>::__value>::__type)(0)))>::__value>::__type std::pow<float, int>(float, int)
  0.00      0.00     0.00     1011     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00     1001     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::max_size() const
  0.00      0.00     0.00     1001     0.00     0.00  std::initializer_list<std::vector<float, std::allocator<float> > >::end() const
  0.00      0.00     0.00     1001     0.00     0.00  std::initializer_list<std::vector<float, std::allocator<float> > >::size() const
  0.00      0.00     0.00     1001     0.00     0.00  std::allocator<std::vector<float, std::allocator<float> > >::allocator()
  0.00      0.00     0.00     1001     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<float, std::allocator<float> >*>(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_allocate(unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_deallocate(std::vector<float, std::allocator<float> >*, unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_Vector_base(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::_Vector_base<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::~_Vector_base()
  0.00      0.00     0.00     1001     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::deallocate(std::vector<float, std::allocator<float> >*, unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1001     0.00     0.00  std::__new_allocator<std::vector<float, std::allocator<float> > >::__new_allocator()
  0.00      0.00     0.00     1001     0.00     0.00  std::allocator_traits<std::allocator<std::vector<float, std::allocator<float> > > >::deallocate(std::allocator<std::vector<float, std::allocator<float> > >&, std::vector<float, std::allocator<float> >*, unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  std::allocator_traits<std::allocator<std::vector<float, std::allocator<float> > > >::allocate(std::allocator<std::vector<float, std::allocator<float> > >&, unsigned long)
  0.00      0.00     0.00     1001     0.00     0.00  std::allocator_traits<std::allocator<std::vector<float, std::allocator<float> > > >::max_size(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<float, std::allocator<float> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_S_max_size(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_S_check_init_len(unsigned long, std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_range_initialize<std::vector<float, std::allocator<float> > const*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::forward_iterator_tag)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::vector(std::initializer_list<std::vector<float, std::allocator<float> > >, std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::iterator_traits<std::vector<float, std::allocator<float> > const*>::difference_type std::__distance<std::vector<float, std::allocator<float> > const*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::random_access_iterator_tag)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<float, std::allocator<float> >* std::__do_uninit_copy<std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<float, std::allocator<float> >* std::uninitialized_copy<std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     1001     0.00     0.00  std::iterator_traits<std::vector<float, std::allocator<float> > const*>::iterator_category std::__iterator_category<std::vector<float, std::allocator<float> > const*>(std::vector<float, std::allocator<float> > const* const&)
  0.00      0.00     0.00     1001     0.00     0.00  std::vector<float, std::allocator<float> >* std::__uninitialized_copy_a<std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> >*, std::allocator<std::vector<float, std::allocator<float> > >&)
  0.00      0.00     0.00     1001     0.00     0.00  void std::_Destroy<std::vector<float, std::allocator<float> >*>(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> >*)
  0.00      0.00     0.00     1001     0.00     0.00  void std::_Destroy<std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> >*, std::allocator<std::vector<float, std::allocator<float> > >&)
  0.00      0.00     0.00     1001     0.00     0.00  std::iterator_traits<std::vector<float, std::allocator<float> > const*>::difference_type std::distance<std::vector<float, std::allocator<float> > const*>(std::vector<float, std::allocator<float> > const*, std::vector<float, std::allocator<float> > const*)
  0.00      0.00     0.00     1000     0.00     0.00  mean_squared_error(std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> >)
  0.00      0.00     0.00     1000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.00     0.00     1000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator-(long) const
  0.00      0.00     0.00     1000     0.00     0.00  void std::__new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      0.00     0.00     1000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      0.00     0.00     1000     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::~vector()
  0.00      0.00     0.00     1000     0.00     0.00  int& std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
