Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.86     0.00    10005     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_range_initialize<float const*>(float const*, float const*, std::forward_iterator_tag)
  0.00      6.86     0.00    10005     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::initializer_list<float>, std::allocator<float> const&)
  0.00      6.86     0.00    10005     0.00     0.00  float* std::uninitialized_copy<float const*, float*>(float const*, float const*, float*)
  0.00      6.86     0.00    10005     0.00     0.00  float* std::__uninitialized_copy_a<float const*, float*, float>(float const*, float const*, float*, std::allocator<float>&)
  0.00      6.86     0.00    10002     0.00     0.00  void std::_Destroy<std::vector<float, std::allocator<float> > >(std::vector<float, std::allocator<float> >*)
  0.00      6.86     0.00    10000     0.00     0.00  __gnu_cxx::new_allocator<std::vector<float, std::allocator<float> > >::new_allocator(__gnu_cxx::new_allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      6.86     0.00    10000     0.00     0.00  std::initializer_list<std::vector<float, std::allocator<float> > >::begin() const
  0.00      6.86     0.00    10000     0.00     0.00  std::vector<float, std::allocator<float> >::capacity() const
  0.00      6.86     0.00    10000     0.00     0.00  std::allocator<std::vector<float, std::allocator<float> > >::allocator(std::allocator<std::vector<float, std::allocator<float> > > const&)
  0.00      6.86     0.00    10000     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_assign_aux<float const*>(float const*, float const*, std::forward_iterator_tag)
  0.00      6.86     0.00    10000     0.00     0.00  std::vector<float, std::allocator<float> >::_M_erase_at_end(float*)
  0.00      6.86     0.00    10000     0.00     0.00  std::vector<float, std::allocator<float> >::operator=(std::initializer_list<float>)
  0.00      6.86     0.00    10000     0.00     0.00  void std::_Construct<std::vector<float, std::allocator<float> >, std::vector<float, std::allocator<float> > const&>(std::vector<float, std::allocator<float> >*, std::vector<float, std::allocator<float> > const&)
  0.00      6.86     0.00    10000     0.00     0.00  __gnu_cxx::__promote_2<float, int, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<float, int>(float, int)
  0.00      6.86     0.00     5004     0.00     0.00  std::allocator_traits<std::allocator<std::vector<float, std::allocator<float> > > >::max_size(std::allocator<std::vector<float, std::allocator<float> > > const&)
